team_abbr,season,season_end_year,predicted_wins,roster_aware_predicted_wins,roster_transition_model_predicted_wins,model_name,live_roster_expected_net_rating,live_roster_projected_minutes,live_roster_matched_players,live_roster_injured_players,live_roster_projection_wins,prior_roster_transition_player_count,prior_roster_returning_player_count,prior_roster_incoming_player_count,prior_roster_new_player_count,prior_roster_player_match_rate,prior_roster_continuity_minutes_share,prior_roster_incoming_minutes_share,prior_roster_minutes_covered,prior_roster_expected_net_rating,prior_roster_expected_off_rating,prior_roster_expected_def_rating,prior_roster_top8_expected_net_rating,prior_roster_top8_expected_off_rating,prior_roster_top8_expected_def_rating,prior_roster_top8_projection_wins,roster_feature_source,independent_predicted_wins,market_win_total,market_source,market_source_date,market_status,live_roster_count,live_active_roster_count,live_avg_age,live_salary_total,live_salary_player_count,live_salary_top3,live_salary_top3_share,live_injury_count,live_injury_burden,scheduled_regular_season_games,scheduled_home_games,live_transactions_since_july,live_injury_source_available,live_schedule_source_available,live_schedule_provider,schedule_unresolved_games,fetched_at_utc,live_context_status,holistic_predicted_wins,conference
DET,2026-27,2027,51.29228707038027,64.9455139971254,52.81306983110794,holistic ensemble: form + roster + market prior,8.868627279570617,12854.315467479673,8.0,0.0,64.94529365484067,20,13,5,2,0.9,0.7495778951444869,0.2504221048555132,20748.201666666668,7.430397387584637,115.86112303356776,108.43072564598312,8.868708887824221,117.04481074521175,108.17610185738752,64.9455139971254,live roster plus latest player history,51.29228707038027,49.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,20,20,,0.0,0,0.0,,0.0,0.0,0,0,20,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,53.80945026687642,East
SAS,2026-27,2027,49.67712102799596,69.74037470906673,57.550378456360704,holistic ensemble: form + roster + market prior,10.644649812227893,14159.017398373982,8.0,0.0,69.74055449301531,18,12,2,4,0.7777777777777778,0.8920859770477096,0.10791402295229016,20735.76666666667,9.284707478689043,117.7899621554132,108.51616227639481,10.64458322558027,119.0045554630146,108.37025625454788,69.74037470906673,live roster plus latest player history,49.67712102799596,59.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,18,18,,0.0,0,0.0,,2.0,1.3,0,0,19,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,59.60437393426567,West
OKC,2026-27,2027,49.01428424537712,76.1888998169193,59.609346213300654,holistic ensemble: form + roster + market prior,13.032185703640529,9535.15224390244,8.0,1.0,76.18690139982942,17,12,0,5,0.7058823529411765,1.0,0.0,14668.988333333335,12.629315851948656,117.00508052455082,104.36781434200518,13.032925858118256,117.19323734306855,104.15172200950171,76.1888998169193,live roster plus latest player history,49.01428424537712,60.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,17,17,,0.0,0,0.0,,6.0,1.7999999999999998,0,0,20,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,61.55079601557411,West
BOS,2026-27,2027,47.902185793393635,66.13468297636368,54.56184147307332,holistic ensemble: form + roster + market prior,9.308902242099723,12818.051524390245,8.0,0.0,66.13403605366926,19,12,3,4,0.7894736842105263,0.8186969370157144,0.18130306298428564,18206.155,8.517432649920382,118.31676726610296,109.80656583880724,9.309141843097658,118.94002363267116,109.63851306434132,66.13468297636368,live roster plus latest player history,47.902185793393635,51.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,19,19,,0.0,0,0.0,,1.0,0.3,0,0,29,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,54.25921719243933,East
CHO,2026-27,2027,47.52712521711979,48.89849178808292,44.006911773640624,holistic ensemble: form + roster + market prior,2.9253385319501697,13984.397093495934,8.0,1.0,48.89841403626546,24,13,5,6,0.75,0.6261478502416435,0.3738521497583563,21410.313333333335,2.820052088253771,115.00661868492415,112.2213316638243,2.9253673289196005,115.30741763333718,112.42376343715367,48.89849178808292,live roster plus latest player history,47.52712521711979,37.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,24,24,,0.0,0,0.0,,2.0,0.6,0,0,39,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,42.856404251300674,East
NYK,2026-27,2027,46.296777361445514,55.30003292526695,52.841253779586424,holistic ensemble: form + roster + market prior,5.295800841131104,13328.889223577236,8.0,1.0,55.298662271053985,17,14,1,2,0.8823529411764706,0.9373472441955658,0.06265275580443422,19643.961666666666,5.530617762684227,116.88227388886285,111.35304288449089,5.296308490839609,117.34250029697931,112.05328598272985,55.30003292526695,live roster plus latest player history,46.296777361445514,52.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,17,17,,0.0,0,0.0,,2.0,0.6,0,0,12,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,51.64920257167812,East
ATL,2026-27,2027,45.78137072048949,50.92938809092051,44.955630310704365,holistic ensemble: form + roster + market prior,3.677523373565388,15130.303556910569,8.0,0.0,50.929313108626545,23,15,5,3,0.8695652173913043,0.764408756309997,0.23559124369000284,25436.818333333336,1.592623262995907,113.70247687111596,112.08618204916526,3.6775511447853737,115.04537071342189,111.34499706724483,50.92938809092051,live roster plus latest player history,45.78137072048949,43.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,23,23,,0.0,0,0.0,,3.0,0.8999999999999999,0,0,32,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,45.927689702852504,East
DEN,2026-27,2027,44.82267517052326,51.131120210377745,51.62304802088638,holistic ensemble: form + roster + market prior,3.751582797605724,10838.065833333334,8.0,0.0,51.129273553535455,18,14,1,3,0.8333333333333334,0.9279880710023216,0.07201192899767836,16676.45,3.5199999336239096,118.99005258620251,115.48930437416476,3.7522667445843485,119.57995921027663,115.85007201853897,51.131120210377745,live roster plus latest player history,44.82267517052326,49.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,18,18,,0.0,0,0.0,,2.0,0.6,0,0,20,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,48.73844884522525,West
HOU,2026-27,2027,44.61482090254332,55.823362501662366,45.88139356407648,holistic ensemble: form + roster + market prior,5.490278326637622,15116.41787804878,8.0,1.0,55.823751481921576,21,12,5,4,0.8095238095238095,0.8498422911344788,0.15015770886552124,20827.934999999998,5.16016918009449,116.22642418339319,111.07574898854979,5.490134259874949,116.72698936534357,111.24570323479426,55.823362501662366,live roster plus latest player history,44.61482090254332,47.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,21,21,,0.0,0,0.0,,3.0,0.8999999999999999,0,0,24,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,48.85954585105142,West
LAC,2026-27,2027,42.36935857317277,45.18023830074462,39.05808567119387,holistic ensemble: form + roster + market prior,1.5481122520779265,11154.534776422763,8.0,0.0,45.1799030806104,25,15,5,5,0.8,0.8320847638113897,0.16791523618861012,19564.166666666668,1.2690160437431466,114.87835734477594,113.6029158135498,1.548236407683192,115.24844817670869,113.70330846575688,45.18023830074462,live roster plus latest player history,42.36935857317277,30.5,SportsBettingDime BetMGM tracker,2026-08-23,Current,25,25,,0.0,0,0.0,,3.0,1.6,0,0,31,True,False,unavailable,82,2026-09-06T20:31:44.370643+00:00,live roster/injury/transaction context attached; schedule unavailable,37.137399218479345,West
